index	oiposi	oinega	pname	nname	crposi	crnega	mlposi	mlnega	mdposi	mdnega	mtposi	mtnega	mfposi	mfnega	clposi	clnega	ctposi	ctnega	cfposi	cfnega	fbkposi	fbknega	pright	nright
1	5	6	A1-B1	A1-B2	0.974279034	5.169561621	NA	NA	NA	NA	8.767	1.950	6	6	NA	NA	5.132	4.836	5	25	3	1	TRUE	FALSE
2	18	9	A1-B1	A1-B2	0.620347395	4.990403071	NA	NA	NA	NA	101.354	5.632	6	6	NA	NA	4.836	5.210	3	26	59	3	TRUE	FALSE
3	23	11	A1-B1	A1-B2	1.08656284	4.222648752	NA	NA	NA	NA	2.278	3.775	6	6	NA	NA	5.522	5.210	6	22	3	5	TRUE	FALSE
4	34	26	A1-B1	A1-B2	0.816659861	3.262955854	NA	NA	NA	NA	3.916	1.591	6	6	NA	NA	4.898	5.210	4	17	4	6	TRUE	FALSE
5	39	28	A1-B1	A1-B2	1.226134174	4.141159525	NA	NA	NA	NA	2.106	2.340	6	6	NA	NA	5.709	5.554	7	23	1	3	TRUE	FALSE
6	3	12	A2-B2	A2-B1	1.062511068	5.240174672	NA	NA	NA	NA	2.168	8.174	6	6	NA	NA	5.647	5.725	6	30	3	2	TRUE	FALSE
7	14	17	A2-B2	A2-B1	0.524017467	1.172562048	NA	NA	NA	NA	4.118	60.497	6	6	NA	NA	5.725	5.117	3	6	2	12	TRUE	FALSE
8	22	21	A2-B2	A2-B1	0.871080139	2.981181293	NA	NA	NA	NA	79.124	70.403	6	6	NA	NA	5.740	5.367	5	16	28	28	TRUE	FALSE
9	29	31	A2-B2	A2-B1	1.433544952	2.564102564	NA	NA	NA	NA	1.919	11.856	6	6	NA	NA	4.883	5.070	7	13	2	5	TRUE	FALSE
10	32	33	A2-B2	A2-B1	0.263782643	2.465078061	NA	NA	NA	NA	29.375	19.157	6	6	NA	NA	3.791	4.868	1	12	2	8	TRUE	FALSE
11	1	15	B1-A1	B1-A2	0.931792769	0.234796901	NA	NA	NA	NA	5.491	11.653	6	6	NA	NA	5.366	4.259	5	1	1	0	TRUE	FALSE
12	4	16	B1-A1	B1-A2	1.649144506	1.691729323	NA	NA	NA	NA	1.950	26.832	6	6	NA	NA	4.851	5.320	8	9	2	3	TRUE	FALSE
13	8	19	B1-A1	B1-A2	0.749765698	1.033912324	NA	NA	NA	NA	5.507	7.020	6	6	NA	NA	5.335	4.836	4	5	7	8	TRUE	FALSE
14	25	35	B1-A1	B1-A2	0.803697006	4.797543658	NA	NA	NA	NA	1.809	2.606	6	6	NA	NA	4.977	5.211	4	25	2	3	TRUE	FALSE
15	36	37	B1-A1	B1-A2	0.745434215	3.214826021	NA	NA	NA	NA	1.435	1.513	6	6	NA	NA	5.366	5.288	4	17	2	4	TRUE	FALSE
16	7	2	B2-A2	B2-A1	1.056524036	4.286827747	NA	NA	NA	NA	6.194	2.683	6	6	NA	NA	5.679	5.132	6	22	2	3	TRUE	FALSE
17	10	13	B2-A2	B2-A1	0.720331352	3.561387067	NA	NA	NA	NA	2.262	4.524	6	6	NA	NA	5.553	5.335	4	19	3	6	TRUE	FALSE
18	27	20	B2-A2	B2-A1	1.229004506	0.770119369	NA	NA	NA	NA	3.947	2.605	6	6	NA	NA	4.882	5.194	6	4	3	2	TRUE	FALSE
19	38	24	B2-A2	B2-A1	0.704473406	5.723006486	NA	NA	NA	NA	8.221	1.560	6	6	NA	NA	5.678	5.242	4	30	2	2	TRUE	FALSE
20	40	30	B2-A2	B2-A1	1.35161228	3.215434084	NA	NA	NA	NA	5.662	11.950	6	6	NA	NA	5.179	4.976	7	16	3	3	TRUE	FALSE
21	5	4	A1-B1	A1-B2	2.40829937	4.339250493	NA	NA	NA	NA	2.418	1.716	6	6	NA	NA	5.398	5.070	13	22	2	4	TRUE	FALSE
22	15	9	A1-B1	A1-B2	2.510137092	2.711076685	NA	NA	NA	NA	2.621	1.622	6	6	NA	NA	5.179	5.164	13	14	7	3	TRUE	FALSE
23	24	18	A1-B1	A1-B2	2.003278091	2.204261572	NA	NA	NA	NA	1.295	2.371	6	6	NA	NA	5.491	5.444	11	12	3	4	TRUE	FALSE
24	28	20	A1-B1	A1-B2	1.696832579	2.289639382	NA	NA	NA	NA	2.496	2.574	6	6	NA	NA	5.304	5.241	9	12	4	5	TRUE	FALSE
25	31	34	A1-B1	A1-B2	1.274813331	4.298262007	NA	NA	NA	NA	1.295	1.451	6	6	NA	NA	5.491	5.351	7	23	4	6	TRUE	FALSE
26	8	12	A2-B2	A2-B1	1.447477254	2.510137092	NA	NA	NA	NA	3.994	3.635	6	6	NA	NA	4.836	5.179	7	13	3	6	TRUE	FALSE
27	11	16	A2-B2	A2-B1	1.742160279	4.781299805	NA	NA	NA	NA	7.129	3.183	6	6	NA	NA	5.740	5.647	10	27	2	3	TRUE	FALSE
28	14	21	A2-B2	A2-B1	1.118151323	1.490868431	NA	NA	NA	NA	1.435	15.631	6	6	NA	NA	5.366	5.366	6	8	3	1	TRUE	FALSE
29	19	35	A2-B2	A2-B1	1.068376068	1.826150475	NA	NA	NA	NA	13.353	6.380	6	6	NA	NA	5.616	5.476	6	10	3	7	TRUE	FALSE
30	33	39	A2-B2	A2-B1	1.512859304	2.634351949	NA	NA	NA	NA	6.598	138.997	6	6	NA	NA	5.288	5.694	8	15	1	32	TRUE	FALSE
31	2	6	B1-A1	B1-A2	1.447477254	3.683919691	NA	NA	NA	NA	2.980	1.357	6	6	NA	NA	4.836	5.429	7	20	3	7	TRUE	FALSE
32	13	7	B1-A1	B1-A2	1.216122307	2.314814815	NA	NA	NA	NA	2.043	3.183	6	6	NA	NA	5.756	5.616	7	13	2	8	TRUE	FALSE
33	23	25	B1-A1	B1-A2	0.965250965	4.472605293	NA	NA	NA	NA	3.651	1.482	6	6	NA	NA	5.180	5.366	5	24	11	4	TRUE	FALSE
34	30	36	B1-A1	B1-A2	1.780767709	2.548519898	NA	NA	NA	NA	6.817	3.729	6	6	NA	NA	5.054	5.101	9	13	2	0	TRUE	FALSE
35	40	38	B1-A1	B1-A2	0.915750916	0.567214974	NA	NA	NA	NA	39.873	21.793	6	6	NA	NA	5.460	5.289	5	3	10	22	TRUE	FALSE
36	3	1	B2-A2	B2-A1	1.670146138	2.819548872	NA	NA	NA	NA	2.012	5.522	6	6	NA	NA	4.790	5.320	8	15	2	5	TRUE	FALSE
37	17	10	B2-A2	B2-A1	0.579262406	0.937207123	NA	NA	NA	NA	1.638	4.508	6	6	NA	NA	5.179	5.335	3	5	2	5	TRUE	FALSE
38	22	27	B2-A2	B2-A1	0.622406639	4.323308271	NA	NA	NA	NA	1.981	1.482	6	6	NA	NA	4.820	5.320	3	23	5	4	TRUE	FALSE
39	26	29	B2-A2	B2-A1	1.382408847	2.003278091	NA	NA	NA	NA	9.126	1.310	6	6	NA	NA	5.787	5.491	8	11	1	2	TRUE	FALSE
40	37	32	B2-A2	B2-A1	0.500876534	1.836884644	NA	NA	NA	NA	6.849	1.357	6	6	NA	NA	3.993	5.444	2	10	5	6	TRUE	FALSE
41	6	7	A1-B1	A1-B2	1.151631478	4.375118889	NA	NA	NA	NA	3.619	9.657	6	6	NA	NA	5.210	5.257	6	23	3	5	TRUE	FALSE
42	16	10	A1-B1	A1-B2	1.490590647	2.714554187	NA	NA	NA	NA	3.619	5.055	6	6	NA	NA	5.367	4.789	8	13	3	4	TRUE	FALSE
43	28	15	A1-B1	A1-B2	1.885369532	4.339250493	NA	NA	NA	NA	2.512	1.732	6	6	NA	NA	5.304	5.070	10	22	3	4	TRUE	FALSE
44	30	19	A1-B1	A1-B2	1.942501943	1.969561325	NA	NA	NA	NA	3.666	3.230	6	6	NA	NA	5.148	5.585	10	11	4	3	TRUE	FALSE
45	32	36	A1-B1	A1-B2	0.734618916	4.362670713	NA	NA	NA	NA	1.357	1.529	6	6	NA	NA	5.445	5.272	4	23	2	3	TRUE	FALSE
46	3	2	A2-B2	A2-B1	1.521780483	3.979891077	NA	NA	NA	NA	3.573	1.997	6	6	NA	NA	5.257	4.774	8	19	3	3	TRUE	FALSE
47	20	17	A2-B2	A2-B1	0.910580951	4.24824529	NA	NA	NA	NA	6.380	3.401	6	6	NA	NA	5.491	5.414	5	23	5	3	TRUE	FALSE
48	25	18	A2-B2	A2-B1	1.007861318	3.866503867	NA	NA	NA	NA	6.895	2.902	6	6	NA	NA	4.961	4.914	5	19	4	3	TRUE	FALSE
49	34	23	A2-B2	A2-B1	1.634283639	3.256003256	NA	NA	NA	NA	3.308	3.915	6	6	NA	NA	5.507	4.914	9	16	3	2	TRUE	FALSE
50	37	33	A2-B2	A2-B1	1.706808269	2.711076685	NA	NA	NA	NA	5.569	3.650	6	6	NA	NA	5.273	5.164	9	14	3	9	TRUE	FALSE
51	1	4	B1-A1	B1-A2	0.977326036	3.004807692	NA	NA	NA	NA	5.741	3.837	6	6	NA	NA	5.116	4.992	5	15	3	3	TRUE	FALSE
52	5	9	B1-A1	B1-A2	1.033912324	4.578754579	NA	NA	NA	NA	802.110	1.435	6	6	NA	NA	4.836	5.460	5	25	55	7	TRUE	FALSE
53	8	13	B1-A1	B1-A2	1.127819549	3.539823009	NA	NA	NA	NA	50.155	1.701	6	6	NA	NA	5.320	5.085	6	18	3	4	TRUE	FALSE
54	12	22	B1-A1	B1-A2	0.78647267	3.611412062	NA	NA	NA	NA	3.744	1.248	6	6	NA	NA	5.086	5.538	4	20	2	4	TRUE	FALSE
55	35	40	B1-A1	B1-A2	1.194505276	4.830917874	NA	NA	NA	NA	1.763	1.450	6	6	NA	NA	5.023	5.382	6	26	4	2	TRUE	FALSE
56	14	11	B2-A2	B2-A1	1.530807501	3.802969938	NA	NA	NA	NA	10.701	2.293	6	6	NA	NA	5.226	5.522	8	21	10	3	TRUE	FALSE
57	21	24	B2-A2	B2-A1	1.628001628	1.743172574	NA	NA	NA	NA	1.934	13.806	6	6	NA	NA	4.914	5.163	8	9	2	4	TRUE	FALSE
58	26	27	B2-A2	B2-A1	1.46092038	4.2865891	NA	NA	NA	NA	1.420	1.887	6	6	NA	NA	5.476	4.899	8	21	3	8	TRUE	FALSE
59	31	29	B2-A2	B2-A1	0.968429208	4.17219799	NA	NA	NA	NA	1.638	1.529	6	6	NA	NA	5.163	5.273	5	22	2	4	TRUE	FALSE
60	39	38	B2-A2	B2-A1	1.183431953	3.635667815	NA	NA	NA	NA	1.716	1.560	6	6	NA	NA	5.070	5.226	6	19	3	6	TRUE	FALSE
61	5	1	A1-B1	A1-B2	1.554001554	0	NA	NA	NA	NA	1.653	5.070	6	6	NA	NA	5.148	4.774	8	0	5	3	TRUE	FALSE
62	15	14	A1-B1	A1-B2	1.461187215	4.006270685	NA	NA	NA	NA	1.326	3.089	6	6	NA	NA	5.475	5.741	8	23	2	2	TRUE	FALSE
63	18	26	A1-B1	A1-B2	1.572052402	3.195488722	NA	NA	NA	NA	8.205	1.467	6	6	NA	NA	5.725	5.320	9	17	2	5	TRUE	FALSE
64	35	27	A1-B1	A1-B2	1.355538342	3.330557868	NA	NA	NA	NA	2.652	1.996	6	6	NA	NA	5.164	4.804	7	16	4	2	TRUE	FALSE
65	37	29	A1-B1	A1-B2	1.625135428	2.136752137	NA	NA	NA	NA	1.279	1.654	6	6	NA	NA	5.538	5.148	9	11	3	6	TRUE	FALSE
66	4	10	A2-B2	A2-B1	1.465201465	3.705075954	NA	NA	NA	NA	3.369	2.418	6	6	NA	NA	5.460	5.398	8	20	6	5	TRUE	FALSE
67	16	17	A2-B2	A2-B1	1.438257654	3.770739065	NA	NA	NA	NA	2.948	1.497	6	6	NA	NA	4.867	5.304	7	20	4	2	TRUE	FALSE
68	19	21	A2-B2	A2-B1	0.693000693	4.07223796	NA	NA	NA	NA	5.070	2.153	6	6	NA	NA	5.772	5.648	4	23	10	6	TRUE	FALSE
69	20	23	A2-B2	A2-B1	1.21703854	2.262443439	NA	NA	NA	NA	4.899	2.621	6	6	NA	NA	4.930	5.304	6	12	4	1	TRUE	FALSE
70	36	33	A2-B2	A2-B1	1.568319937	1.620453727	NA	NA	NA	NA	1.700	2.247	6	6	NA	NA	5.101	5.554	8	9	3	2	TRUE	FALSE
71	6	3	B1-A1	B1-A2	1.681928611	3.981684252	NA	NA	NA	NA	1.435	1.778	6	6	NA	NA	5.351	5.023	9	20	4	5	TRUE	FALSE
72	7	13	B1-A1	B1-A2	1.376327173	4.477004477	NA	NA	NA	NA	1.716	2.886	6	6	NA	NA	5.086	4.914	7	22	7	6	TRUE	FALSE
73	25	22	B1-A1	B1-A2	1.654259719	4.116032928	NA	NA	NA	NA	7.020	2.715	6	6	NA	NA	4.836	5.102	8	21	5	3	TRUE	FALSE
74	28	32	B1-A1	B1-A2	1.836884644	4.24792431	NA	NA	NA	NA	56.098	1.606	6	6	NA	NA	5.444	5.179	10	22	19	3	TRUE	FALSE
75	30	40	B1-A1	B1-A2	0.704349357	3.551401869	NA	NA	NA	NA	4.150	1.451	6	6	NA	NA	5.679	5.350	4	19	2	3	TRUE	FALSE
76	2	9	B2-A2	B2-A1	1.648351648	5.023106289	NA	NA	NA	NA	6.396	1.841	6	6	NA	NA	5.460	4.977	9	25	4	7	TRUE	FALSE
77	8	11	B2-A2	B2-A1	1.495047655	4.534212696	NA	NA	NA	NA	1.435	1.965	6	6	NA	NA	5.351	4.852	8	22	1	3	TRUE	FALSE
78	12	24	B2-A2	B2-A1	1.717229536	2.778880508	NA	NA	NA	NA	1.560	1.762	6	6	NA	NA	5.241	5.038	9	14	2	6	TRUE	FALSE
79	34	31	B2-A2	B2-A1	1.751313485	4.030710173	NA	NA	NA	NA	2.106	1.576	6	6	NA	NA	5.710	5.210	10	21	3	3	TRUE	FALSE
80	39	38	B2-A2	B2-A1	1.44270404	4.209720628	NA	NA	NA	NA	2.964	1.560	6	6	NA	NA	4.852	5.226	7	22	4	3	TRUE	FALSE
81	2	12	A1-B1	A1-B2	1.797483523	1.746724891	NA	NA	NA	NA	2.808	2.075	6	6	NA	NA	5.007	5.725	9	10	3	2	TRUE	FALSE
82	3	15	A1-B1	A1-B2	1.780767709	1.128031585	NA	NA	NA	NA	1.732	42.057	6	6	NA	NA	5.054	5.319	9	6	3	7	TRUE	FALSE
83	11	23	A1-B1	A1-B2	1.81587071	2.694898941	NA	NA	NA	NA	2.293	2.605	6	6	NA	NA	5.507	5.195	10	14	3	3	TRUE	FALSE
84	16	26	A1-B1	A1-B2	1.35975136	3.187533203	NA	NA	NA	NA	1.654	2.169	6	6	NA	NA	5.148	5.647	7	18	2	2	TRUE	FALSE
85	19	28	A1-B1	A1-B2	1.861042184	2.074688797	NA	NA	NA	NA	1.966	90.200	6	6	NA	NA	4.836	4.820	9	10	2	12	TRUE	FALSE
86	5	7	A2-B2	A2-B1	1.444564825	4.192139738	NA	NA	NA	NA	7.348	2.106	6	6	NA	NA	5.538	5.725	8	24	2	5	TRUE	FALSE
87	18	9	A2-B2	A2-B1	1.808681672	3.132177908	NA	NA	NA	NA	1.809	1.997	6	6	NA	NA	4.976	4.789	9	15	3	2	TRUE	FALSE
88	21	13	A2-B2	A2-B1	1.420454545	1.380670611	NA	NA	NA	NA	2.168	46.332	6	6	NA	NA	5.632	5.070	8	7	2	4	TRUE	FALSE
89	37	14	A2-B2	A2-B1	1.848808546	1.607717042	NA	NA	NA	NA	4.977	2.840	6	6	NA	NA	4.868	4.976	9	8	1	6	TRUE	FALSE
90	40	39	A2-B2	A2-B1	1.786068664	1.930874686	NA	NA	NA	NA	47.393	42.198	6	6	NA	NA	5.039	5.179	9	10	7	20	TRUE	FALSE
91	8	1	B1-A1	B1-A2	1.424501425	0.428724544	NA	NA	NA	NA	2.184	6.193	6	6	NA	NA	5.616	4.665	8	2	2	5	TRUE	FALSE
92	22	4	B1-A1	B1-A2	1.554001554	3.925233645	NA	NA	NA	NA	2.652	1.435	6	6	NA	NA	5.148	5.350	8	21	3	1	TRUE	FALSE
93	25	27	B1-A1	B1-A2	1.539942252	2.236302646	NA	NA	NA	NA	5.663	3.447	6	6	NA	NA	5.195	5.366	8	12	2	5	TRUE	FALSE
94	33	32	B1-A1	B1-A2	1.372010976	1.607717042	NA	NA	NA	NA	5.757	2.839	6	6	NA	NA	5.102	4.976	7	8	2	4	TRUE	FALSE
95	36	34	B1-A1	B1-A2	1.380670611	1.393485455	NA	NA	NA	NA	3.744	2.075	6	6	NA	NA	5.070	5.741	7	8	3	3	TRUE	FALSE
96	6	20	B2-A2	B2-A1	2.196485623	1.308166698	NA	NA	NA	NA	1.778	2.465	6	6	NA	NA	5.008	5.351	11	7	2	2	TRUE	FALSE
97	10	24	B2-A2	B2-A1	1.389854065	2.945252945	NA	NA	NA	NA	4.071	14.211	6	6	NA	NA	5.756	5.772	8	17	3	5	TRUE	FALSE
98	17	30	B2-A2	B2-A1	1.040582726	2.191780822	NA	NA	NA	NA	1.981	1.311	6	6	NA	NA	4.805	5.475	5	12	3	6	TRUE	FALSE
99	29	35	B2-A2	B2-A1	1.701966717	0.880591758	NA	NA	NA	NA	17.737	16.333	6	6	NA	NA	5.288	5.678	9	5	3	9	TRUE	FALSE
100	31	38	B2-A2	B2-A1	1.004823151	1.037344398	NA	NA	NA	NA	3.853	1.981	6	6	NA	NA	4.976	4.820	5	5	2	7	TRUE	FALSE
101	4	3	A1-B1	A1-B2	0.835073069	1.420454545	NA	NA	NA	NA	14.165	3.198	6	6	NA	NA	4.790	5.632	4	8	7	2	TRUE	FALSE
102	10	11	A1-B1	A1-B2	0.965437343	3.214285714	NA	NA	NA	NA	1.622	5.257	6	6	NA	NA	5.179	5.600	5	18	3	3	TRUE	FALSE
103	15	13	A1-B1	A1-B2	1.701966717	2.015722637	NA	NA	NA	NA	3.526	7.910	6	6	NA	NA	5.288	4.961	9	10	2	5	TRUE	FALSE
104	33	17	A1-B1	A1-B2	1.490590647	2.623688156	NA	NA	NA	NA	2.434	1.467	6	6	NA	NA	5.367	5.336	8	14	1	6	TRUE	FALSE
105	37	38	A1-B1	A1-B2	1.412678792	2.274607113	NA	NA	NA	NA	6.209	3.993	6	6	NA	NA	5.663	4.836	8	11	2	3	TRUE	FALSE
106	9	1	A2-B2	A2-B1	1.902225604	2.067824648	NA	NA	NA	NA	2.699	7.051	6	6	NA	NA	5.257	4.836	10	10	2	2	TRUE	FALSE
107	23	2	A2-B2	A2-B1	1.831501832	1.165501166	NA	NA	NA	NA	3.916	20.920	6	6	NA	NA	4.914	5.148	9	6	2	3	TRUE	FALSE
108	25	14	A2-B2	A2-B1	0.816493162	3.673094582	NA	NA	NA	NA	24.195	10.468	6	6	NA	NA	4.899	5.445	4	20	15	7	TRUE	FALSE
109	26	36	A2-B2	A2-B1	1.984520738	3.31010453	NA	NA	NA	NA	68.687	2.059	6	6	NA	NA	5.039	5.740	10	19	45	2	TRUE	FALSE
110	35	39	A2-B2	A2-B1	1.990842126	2.990095309	NA	NA	NA	NA	6.849	4.493	6	6	NA	NA	5.023	5.351	10	16	2	3	TRUE	FALSE
111	6	5	B1-A1	B1-A2	1.92139738	0.537153089	NA	NA	NA	NA	18.315	13.369	6	6	NA	NA	5.725	5.585	11	3	2	2	TRUE	FALSE
112	7	21	B1-A1	B1-A2	1.606855919	2.485795455	NA	NA	NA	NA	2.199	9.282	6	6	NA	NA	5.601	5.632	9	14	2	4	TRUE	FALSE
113	28	27	B1-A1	B1-A2	0.612494896	2.111324376	NA	NA	NA	NA	3.931	2.605	6	6	NA	NA	4.898	5.210	3	11	2	6	TRUE	FALSE
114	29	31	B1-A1	B1-A2	2.035002035	1.841959845	NA	NA	NA	NA	1.872	2.371	6	6	NA	NA	4.914	5.429	10	10	2	3	TRUE	FALSE
115	32	40	B1-A1	B1-A2	1.482304984	1.916042501	NA	NA	NA	NA	15.585	9.173	6	6	NA	NA	5.397	5.741	8	11	2	17	TRUE	FALSE
116	8	12	B2-A2	B2-A1	1.535508637	3.749330477	NA	NA	NA	NA	1.591	2.355	6	6	NA	NA	5.210	5.601	8	21	3	3	TRUE	FALSE
117	16	19	B2-A2	B2-A1	1.389854065	2.624179944	NA	NA	NA	NA	3.074	2.480	6	6	NA	NA	5.756	5.335	8	14	2	3	TRUE	FALSE
118	18	20	B2-A2	B2-A1	1.490590647	2.049562139	NA	NA	NA	NA	3.464	3.463	6	6	NA	NA	5.367	5.367	8	11	3	2	TRUE	FALSE
119	22	24	B2-A2	B2-A1	1.044059303	0.529754547	NA	NA	NA	NA	56.769	2.137	6	6	NA	NA	4.789	5.663	5	3	2	3	TRUE	FALSE
120	30	34	B2-A2	B2-A1	1.404987706	3.561253561	NA	NA	NA	NA	3.136	3.338	6	6	NA	NA	5.694	5.616	8	20	2	3	TRUE	FALSE
121	5	4	A1-B1	A1-B2	1.837484688	3.47080441	NA	NA	NA	NA	4.945	1.903	6	6	NA	NA	4.898	4.898	9	17	5	6	TRUE	FALSE
122	12	7	A1-B1	A1-B2	1.617795753	3.583515827	NA	NA	NA	NA	1.872	1.778	6	6	NA	NA	4.945	5.023	8	18	3	4	TRUE	FALSE
123	15	22	A1-B1	A1-B2	1.814150373	3.351487222	NA	NA	NA	NA	15.023	5.054	6	6	NA	NA	4.961	4.774	9	16	2	3	TRUE	FALSE
124	23	34	A1-B1	A1-B2	1.805706031	1.617795753	NA	NA	NA	NA	10.374	1.841	6	6	NA	NA	5.538	4.945	10	8	5	9	TRUE	FALSE
125	35	38	A1-B1	A1-B2	1.612578109	4.494821184	NA	NA	NA	NA	21.122	1.841	6	6	NA	NA	4.961	5.117	8	23	2	3	TRUE	FALSE
126	11	9	A2-B2	A2-B1	1.629549158	3.983342386	NA	NA	NA	NA	3.307	3.276	6	6	NA	NA	5.523	5.523	9	22	2	3	TRUE	FALSE
127	28	10	A2-B2	A2-B1	1.244813278	2.264808362	NA	NA	NA	NA	1.966	9.172	6	6	NA	NA	4.820	5.740	6	13	2	6	TRUE	FALSE
128	36	17	A2-B2	A2-B1	1.452696568	2.923366047	NA	NA	NA	NA	2.293	2.012	6	6	NA	NA	5.507	4.789	8	14	2	2	TRUE	FALSE
129	37	21	A2-B2	A2-B1	2.061005771	1.948558067	NA	NA	NA	NA	20.187	14.836	6	6	NA	NA	4.852	5.132	10	10	2	6	TRUE	FALSE
130	39	29	A2-B2	A2-B1	2.067824648	4.122011542	NA	NA	NA	NA	2.964	2.948	6	6	NA	NA	4.836	4.852	10	20	2	5	TRUE	FALSE
131	1	13	B1-A1	B1-A2	0.806451613	2.314814815	NA	NA	NA	NA	15.007	4.212	6	6	NA	NA	4.960	5.616	4	13	3	3	TRUE	FALSE
132	3	14	B1-A1	B1-A2	1.597763132	2.465656921	NA	NA	NA	NA	1.794	12.261	6	6	NA	NA	5.007	5.678	8	14	2	15	TRUE	FALSE
133	6	20	B1-A1	B1-A2	1.78041543	2.117420597	NA	NA	NA	NA	1.809	15.803	6	6	NA	NA	5.055	5.195	9	11	3	3	TRUE	FALSE
134	8	32	B1-A1	B1-A2	2.003205128	2.641775273	NA	NA	NA	NA	1.794	3.151	6	6	NA	NA	4.992	5.678	10	15	2	7	TRUE	FALSE
135	16	33	B1-A1	B1-A2	1.408698715	1.339456563	NA	NA	NA	NA	2.168	2.590	6	6	NA	NA	5.679	5.226	8	7	2	10	TRUE	FALSE
136	18	2	B2-A2	B2-A1	0.819168544	4.472605293	NA	NA	NA	NA	9.001	1.482	6	6	NA	NA	4.883	5.366	4	24	3	2	TRUE	FALSE
137	25	19	B2-A2	B2-A1	1.810938066	3.815337657	NA	NA	NA	NA	2.278	4.602	6	6	NA	NA	5.522	5.242	10	20	2	3	TRUE	FALSE
138	27	24	B2-A2	B2-A1	1.495047655	1.190712443	NA	NA	NA	NA	6.520	3.775	6	6	NA	NA	5.351	5.039	8	6	3	16	TRUE	FALSE
139	31	26	B2-A2	B2-A1	1.863238308	1.416681424	NA	NA	NA	NA	2.589	3.182	6	6	NA	NA	5.367	5.647	10	8	2	10	TRUE	FALSE
140	40	30	B2-A2	B2-A1	0.808897877	2.735978112	NA	NA	NA	NA	1.856	5.726	6	6	NA	NA	4.945	5.117	4	14	2	4	TRUE	FALSE
141	6	2	A1-B1	A1-B2	1.089720305	3.734439834	NA	NA	NA	NA	2.293	1.996	6	6	NA	NA	5.506	4.820	6	18	2	2	TRUE	FALSE
142	7	4	A1-B1	A1-B2	1.176009408	3.698376824	NA	NA	NA	NA	2.715	1.919	6	6	NA	NA	5.102	4.867	6	18	3	5	TRUE	FALSE
143	12	21	A1-B1	A1-B2	1.549486733	2.564102564	NA	NA	NA	NA	1.638	4.431	6	6	NA	NA	5.163	5.460	8	14	2	2	TRUE	FALSE
144	16	24	A1-B1	A1-B2	1.780767709	3.874603734	NA	NA	NA	NA	1.732	3.151	6	6	NA	NA	5.054	5.678	9	22	3	2	TRUE	FALSE
145	33	26	A1-B1	A1-B2	1.75370226	3.342508848	NA	NA	NA	NA	4.695	1.716	6	6	NA	NA	5.132	5.086	9	17	2	2	TRUE	FALSE
146	10	3	A2-B2	A2-B1	2.245814618	4.250977725	NA	NA	NA	NA	1.934	3.120	6	6	NA	NA	4.898	5.881	11	25	3	3	TRUE	FALSE
147	17	11	A2-B2	A2-B1	1.404987706	3.374178654	NA	NA	NA	NA	2.106	2.184	6	6	NA	NA	5.694	5.631	8	19	3	3	TRUE	FALSE
148	25	19	A2-B2	A2-B1	1.323501607	3.278091422	NA	NA	NA	NA	3.526	8.424	6	6	NA	NA	5.289	5.491	7	18	6	2	TRUE	FALSE
149	30	27	A2-B2	A2-B1	0.801282051	2.631578947	NA	NA	NA	NA	1.809	2.481	6	6	NA	NA	4.992	5.320	4	14	2	4	TRUE	FALSE
150	38	34	A2-B2	A2-B1	1.512859304	3.014469453	NA	NA	NA	NA	1.513	1.840	6	6	NA	NA	5.288	4.976	8	15	2	3	TRUE	FALSE
151	5	1	B1-A1	B1-A2	1.477923517	1.296776584	NA	NA	NA	NA	2.402	29.797	6	6	NA	NA	5.413	5.398	8	7	2	2	TRUE	FALSE
152	9	13	B1-A1	B1-A2	1.53521397	3.205128205	NA	NA	NA	NA	1.575	4.540	6	6	NA	NA	5.211	5.304	8	17	2	4	TRUE	FALSE
153	15	22	B1-A1	B1-A2	1.654259719	0.821861516	NA	NA	NA	NA	1.950	1.919	6	6	NA	NA	4.836	4.867	8	4	2	2	TRUE	FALSE
154	18	31	B1-A1	B1-A2	1.253357207	1.011122346	NA	NA	NA	NA	5.257	1.840	6	6	NA	NA	5.585	4.945	7	5	3	2	TRUE	FALSE
155	39	32	B1-A1	B1-A2	1.380670611	2.812939522	NA	NA	NA	NA	1.716	1.810	6	6	NA	NA	5.070	4.977	7	14	1	6	TRUE	FALSE
156	14	8	B2-A2	B2-A1	1.797483523	3.737619137	NA	NA	NA	NA	3.822	2.465	6	6	NA	NA	5.007	5.351	9	20	2	2	TRUE	FALSE
157	20	28	B2-A2	B2-A1	0.777000777	3.062474479	NA	NA	NA	NA	3.681	2.917	6	6	NA	NA	5.148	4.898	4	15	2	4	TRUE	FALSE
158	23	35	B2-A2	B2-A1	1.401296199	3.581020591	NA	NA	NA	NA	5.148	2.231	6	6	NA	NA	5.709	5.585	8	20	2	3	TRUE	FALSE
159	29	36	B2-A2	B2-A1	1.296776584	0.835247442	NA	NA	NA	NA	3.416	2.012	6	6	NA	NA	5.398	4.789	7	4	2	2	TRUE	FALSE
160	37	40	B2-A2	B2-A1	1.253357207	0.89968511	NA	NA	NA	NA	8.299	1.498	6	6	NA	NA	5.585	4.446	7	4	2	2	TRUE	FALSE
161	2	1	A1-B1	A1-B2	1.179941003	2.289202594	NA	NA	NA	NA	3.759	6.630	6	6	NA	NA	5.085	5.242	6	12	2	3	TRUE	FALSE
